Place,State,Type,Associated_Moods,Description
Place 1772,Rajasthan,Adventure,"Romantic, Peaceful",Famous for its historical significance and architecture.
Place 1773,Uttarakhand,Historical,"Curious, Nature-loving, Peaceful",Offers a mix of tradition and modern lifestyle.
Place 1774,Rajasthan,Beach,"Curious, Peaceful",Popular spot for romantic getaways and honeymoons.
Place 1775,Kerala,Romantic,"Relaxed, Festive, Nature-loving",Ideal for wildlife lovers and bird watchers.
Place 1776,Rajasthan,Adventure,"Festive, Relaxed, Adventurous",Perfect for nature lovers and adventure seekers.
Place 1777,Uttarakhand,Beach,"Spiritual, Adventurous, Festive",Popular spot for romantic getaways and honeymoons.
Place 1778,Tamil Nadu,Romantic,Adventurous,Famous for its historical significance and architecture.
Place 1779,Uttarakhand,Beach,"Peaceful, Curious, Relaxed",Famous for its historical significance and architecture.
Place 1780,Uttarakhand,Cultural,Festive,Offers a mix of tradition and modern lifestyle.
Place 1781,Himachal Pradesh,Cultural,Curious,Great for spiritual retreats and calm environments.
Place 1782,Goa,Adventure,Curious,Great for spiritual retreats and calm environments.
Place 1783,Rajasthan,Adventure,"Adventurous, Peaceful",Perfect for nature lovers and adventure seekers.
Place 1784,Gujarat,Hill Station,"Festive, Adventurous",A serene destination with breathtaking views.
Place 1785,Himachal Pradesh,Pilgrimage,Spiritual,Known for its vibrant culture and scenic beauty.
Place 1786,Rajasthan,Wildlife,"Relaxed, Peaceful",Popular spot for romantic getaways and honeymoons.
Place 1787,Rajasthan,Romantic,"Adventurous, Romantic",A serene destination with breathtaking views.
Place 1788,Kerala,Cultural,"Spiritual, Relaxed",Perfect for nature lovers and adventure seekers.
Place 1789,Karnataka,Beach,Spiritual,Offers a mix of tradition and modern lifestyle.
Place 1790,Uttarakhand,Beach,"Relaxed, Festive, Peaceful",Famous for its historical significance and architecture.
Place 1791,Himachal Pradesh,Historical,"Nature-loving, Spiritual, Peaceful",Famous for its historical significance and architecture.
Place 1792,Himachal Pradesh,Pilgrimage,"Festive, Peaceful",Popular spot for romantic getaways and honeymoons.
Place 1793,Maharashtra,Historical,"Spiritual, Romantic, Curious",Ideal for wildlife lovers and bird watchers.
Place 1794,Maharashtra,Adventure,"Relaxed, Curious, Adventurous",Famous for its historical significance and architecture.
Place 1795,Himachal Pradesh,Adventure,"Festive, Peaceful",Perfect for nature lovers and adventure seekers.
Place 1796,Uttarakhand,Pilgrimage,"Adventurous, Nature-loving",Ideal for wildlife lovers and bird watchers.
Place 1797,Karnataka,Cultural,"Romantic, Festive, Spiritual",Ideal for wildlife lovers and bird watchers.
Place 1798,Kerala,Historical,"Peaceful, Nature-loving",Known for its vibrant culture and scenic beauty.
Place 1799,Uttarakhand,Historical,Nature-loving,Great for spiritual retreats and calm environments.
Place 1800,Himachal Pradesh,Hill Station,"Relaxed, Curious",Great for spiritual retreats and calm environments.
Place 1801,Gujarat,Romantic,"Relaxed, Spiritual, Peaceful",Great for spiritual retreats and calm environments.
Place 1802,Goa,Hill Station,"Spiritual, Peaceful",Ideal for wildlife lovers and bird watchers.
Place 1803,Rajasthan,Romantic,Romantic,Popular spot for romantic getaways and honeymoons.
Place 1804,Maharashtra,Romantic,"Peaceful, Spiritual, Nature-loving",Offers a mix of tradition and modern lifestyle.
Place 1805,Uttarakhand,Cultural,"Spiritual, Nature-loving",Popular spot for romantic getaways and honeymoons.
Place 1806,Gujarat,Wildlife,"Festive, Curious, Relaxed",Offers a mix of tradition and modern lifestyle.
Place 1807,Goa,Cultural,"Relaxed, Adventurous, Curious",A serene destination with breathtaking views.
Place 1808,Uttarakhand,Wildlife,"Adventurous, Relaxed",Perfect for nature lovers and adventure seekers.
Place 1809,Gujarat,Wildlife,"Nature-loving, Curious",Perfect for nature lovers and adventure seekers.
Place 1810,Rajasthan,Historical,"Festive, Spiritual, Curious",Perfect for nature lovers and adventure seekers.
Place 1811,Tamil Nadu,Historical,"Peaceful, Spiritual, Curious",Ideal for wildlife lovers and bird watchers.
Place 1812,Rajasthan,Adventure,Adventurous,Offers a mix of tradition and modern lifestyle.
Place 1813,Tamil Nadu,Hill Station,Nature-loving,Great for spiritual retreats and calm environments.
Place 1814,Uttarakhand,Beach,"Spiritual, Festive, Relaxed",Popular spot for romantic getaways and honeymoons.
Place 1815,Maharashtra,Beach,"Nature-loving, Romantic, Festive",Perfect for nature lovers and adventure seekers.
Place 1816,Assam,Wildlife,"Curious, Nature-loving",Ideal for wildlife lovers and bird watchers.
Place 1817,Maharashtra,Wildlife,"Spiritual, Relaxed",Offers a mix of tradition and modern lifestyle.
Place 1818,Maharashtra,Beach,Peaceful,Ideal for wildlife lovers and bird watchers.
Place 1819,Himachal Pradesh,Hill Station,"Spiritual, Curious",A serene destination with breathtaking views.
Place 1820,Himachal Pradesh,Wildlife,Adventurous,Offers a mix of tradition and modern lifestyle.
Place 1821,Himachal Pradesh,Beach,"Nature-loving, Curious, Relaxed",Offers a mix of tradition and modern lifestyle.
Place 1822,Rajasthan,Historical,"Peaceful, Adventurous",Ideal for wildlife lovers and bird watchers.
Place 1823,Gujarat,Historical,"Peaceful, Romantic",Popular spot for romantic getaways and honeymoons.
Place 1824,Karnataka,Cultural,"Nature-loving, Adventurous, Spiritual",Great for spiritual retreats and calm environments.
Place 1825,Himachal Pradesh,Hill Station,Peaceful,Ideal for wildlife lovers and bird watchers.
Place 1826,Himachal Pradesh,Beach,"Spiritual, Adventurous",A serene destination with breathtaking views.
Place 1827,Goa,Romantic,Romantic,Famous for its historical significance and architecture.
Place 1828,Kerala,Cultural,"Curious, Romantic, Spiritual",Famous for its historical significance and architecture.
Place 1829,Karnataka,Romantic,"Spiritual, Relaxed",Popular spot for romantic getaways and honeymoons.
Place 1830,Kerala,Beach,Romantic,Perfect for nature lovers and adventure seekers.
Place 1831,Himachal Pradesh,Cultural,"Relaxed, Spiritual",Great for spiritual retreats and calm environments.
Place 1832,Rajasthan,Adventure,Relaxed,Great for spiritual retreats and calm environments.
Place 1833,Maharashtra,Historical,"Romantic, Curious",Perfect for nature lovers and adventure seekers.
Place 1834,Goa,Hill Station,"Relaxed, Curious",Popular spot for romantic getaways and honeymoons.
Place 1835,Assam,Adventure,Festive,Famous for its historical significance and architecture.
Place 1836,Goa,Cultural,"Romantic, Spiritual",Known for its vibrant culture and scenic beauty.
Place 1837,Kerala,Historical,"Relaxed, Adventurous",A serene destination with breathtaking views.
Place 1838,Gujarat,Wildlife,Spiritual,Known for its vibrant culture and scenic beauty.
Place 1839,Assam,Adventure,"Nature-loving, Spiritual, Adventurous",Ideal for wildlife lovers and bird watchers.
Place 1840,Tamil Nadu,Cultural,Peaceful,Popular spot for romantic getaways and honeymoons.
Place 1841,Maharashtra,Pilgrimage,"Nature-loving, Curious, Peaceful",Known for its vibrant culture and scenic beauty.
Place 1842,Uttarakhand,Pilgrimage,"Adventurous, Romantic",A serene destination with breathtaking views.
Place 1843,Assam,Historical,"Romantic, Curious",Famous for its historical significance and architecture.
Place 1844,Uttarakhand,Hill Station,Festive,Ideal for wildlife lovers and bird watchers.
Place 1845,Maharashtra,Cultural,Nature-loving,Perfect for nature lovers and adventure seekers.
Place 1846,Kerala,Wildlife,"Festive, Romantic, Curious",Known for its vibrant culture and scenic beauty.
Place 1847,Maharashtra,Hill Station,Festive,A serene destination with breathtaking views.
Place 1848,Tamil Nadu,Adventure,"Adventurous, Relaxed, Festive",Perfect for nature lovers and adventure seekers.
Place 1849,Himachal Pradesh,Cultural,"Curious, Nature-loving, Romantic",Great for spiritual retreats and calm environments.
Place 1850,Maharashtra,Historical,"Spiritual, Relaxed, Peaceful",A serene destination with breathtaking views.
Place 1851,Assam,Beach,"Curious, Romantic, Peaceful",Great for spiritual retreats and calm environments.
Place 1852,Karnataka,Adventure,"Festive, Romantic, Adventurous",Popular spot for romantic getaways and honeymoons.
Place 1853,Goa,Cultural,Relaxed,Famous for its historical significance and architecture.
Place 1854,Goa,Pilgrimage,Spiritual,A serene destination with breathtaking views.
Place 1855,Karnataka,Cultural,"Adventurous, Curious, Spiritual",Known for its vibrant culture and scenic beauty.
Place 1856,Rajasthan,Historical,Romantic,Perfect for nature lovers and adventure seekers.
Place 1857,Himachal Pradesh,Hill Station,"Curious, Adventurous, Relaxed",Popular spot for romantic getaways and honeymoons.
Place 1858,Assam,Hill Station,"Spiritual, Curious",Known for its vibrant culture and scenic beauty.
Place 1859,Himachal Pradesh,Pilgrimage,"Relaxed, Romantic, Peaceful",A serene destination with breathtaking views.
Place 1860,Assam,Romantic,"Adventurous, Peaceful",Great for spiritual retreats and calm environments.
Place 1861,Maharashtra,Hill Station,Nature-loving,Great for spiritual retreats and calm environments.
Place 1862,Assam,Adventure,Festive,Famous for its historical significance and architecture.
Place 1863,Rajasthan,Cultural,"Romantic, Relaxed, Nature-loving",Famous for its historical significance and architecture.
Place 1864,Goa,Romantic,Curious,Perfect for nature lovers and adventure seekers.
Place 1865,Gujarat,Adventure,Curious,Ideal for wildlife lovers and bird watchers.
Place 1866,Goa,Cultural,Curious,Known for its vibrant culture and scenic beauty.
Place 1867,Uttarakhand,Historical,"Romantic, Spiritual",Ideal for wildlife lovers and bird watchers.
Place 1868,Uttarakhand,Adventure,Festive,Famous for its historical significance and architecture.
Place 1869,Gujarat,Adventure,"Nature-loving, Romantic, Spiritual",Known for its vibrant culture and scenic beauty.
Place 1870,Himachal Pradesh,Historical,"Relaxed, Festive, Spiritual",Perfect for nature lovers and adventure seekers.
Place 1871,Uttarakhand,Hill Station,"Curious, Romantic",Known for its vibrant culture and scenic beauty.
Place 1872,Maharashtra,Hill Station,Curious,Popular spot for romantic getaways and honeymoons.
Place 1873,Kerala,Romantic,Nature-loving,Ideal for wildlife lovers and bird watchers.
Place 1874,Uttarakhand,Cultural,"Spiritual, Nature-loving, Romantic",A serene destination with breathtaking views.
Place 1875,Rajasthan,Hill Station,"Spiritual, Curious, Romantic",Famous for its historical significance and architecture.
Place 1876,Kerala,Romantic,"Adventurous, Peaceful, Romantic",Famous for its historical significance and architecture.
Place 1877,Rajasthan,Adventure,"Adventurous, Spiritual",Offers a mix of tradition and modern lifestyle.
Place 1878,Karnataka,Pilgrimage,Romantic,Famous for its historical significance and architecture.
Place 1879,Tamil Nadu,Hill Station,"Romantic, Nature-loving",Famous for its historical significance and architecture.
Place 1880,Maharashtra,Wildlife,Adventurous,A serene destination with breathtaking views.
Place 1881,Goa,Romantic,"Curious, Peaceful, Spiritual",Perfect for nature lovers and adventure seekers.
Place 1882,Kerala,Wildlife,"Peaceful, Festive, Relaxed",Perfect for nature lovers and adventure seekers.
Place 1883,Kerala,Romantic,"Adventurous, Festive",A serene destination with breathtaking views.
Place 1884,Uttarakhand,Romantic,"Relaxed, Romantic",Famous for its historical significance and architecture.
Place 1885,Himachal Pradesh,Pilgrimage,Spiritual,Famous for its historical significance and architecture.
Place 1886,Assam,Cultural,"Spiritual, Peaceful, Adventurous",Popular spot for romantic getaways and honeymoons.
Place 1887,Maharashtra,Historical,Relaxed,A serene destination with breathtaking views.
Place 1888,Kerala,Romantic,"Peaceful, Spiritual, Curious",Offers a mix of tradition and modern lifestyle.
Place 1889,Uttarakhand,Beach,"Relaxed, Adventurous",A serene destination with breathtaking views.
Place 1890,Tamil Nadu,Romantic,Adventurous,Famous for its historical significance and architecture.
Place 1891,Kerala,Hill Station,Relaxed,Great for spiritual retreats and calm environments.
Place 1892,Gujarat,Adventure,"Adventurous, Peaceful, Festive",Offers a mix of tradition and modern lifestyle.
Place 1893,Goa,Romantic,Adventurous,A serene destination with breathtaking views.
Place 1894,Assam,Romantic,Spiritual,Great for spiritual retreats and calm environments.
Place 1895,Himachal Pradesh,Wildlife,"Adventurous, Peaceful, Festive",Famous for its historical significance and architecture.
Place 1896,Himachal Pradesh,Historical,"Relaxed, Curious",Great for spiritual retreats and calm environments.
Place 1897,Rajasthan,Beach,Adventurous,A serene destination with breathtaking views.
Place 1898,Assam,Cultural,"Adventurous, Romantic",Popular spot for romantic getaways and honeymoons.
Place 1899,Maharashtra,Historical,"Peaceful, Romantic",A serene destination with breathtaking views.
Place 1900,Assam,Romantic,"Relaxed, Peaceful",Great for spiritual retreats and calm environments.
Place 1901,Assam,Historical,"Nature-loving, Romantic, Adventurous",Famous for its historical significance and architecture.
Place 1902,Tamil Nadu,Wildlife,"Adventurous, Nature-loving",Great for spiritual retreats and calm environments.
Place 1903,Maharashtra,Adventure,Spiritual,Perfect for nature lovers and adventure seekers.
Place 1904,Goa,Adventure,"Adventurous, Spiritual, Relaxed",A serene destination with breathtaking views.
Place 1905,Tamil Nadu,Historical,"Peaceful, Relaxed, Curious",Popular spot for romantic getaways and honeymoons.
Place 1906,Assam,Hill Station,"Peaceful, Adventurous",Known for its vibrant culture and scenic beauty.
Place 1907,Goa,Romantic,Nature-loving,Great for spiritual retreats and calm environments.
Place 1908,Goa,Historical,Romantic,A serene destination with breathtaking views.
Place 1909,Gujarat,Historical,"Peaceful, Nature-loving, Romantic",Famous for its historical significance and architecture.
Place 1910,Rajasthan,Pilgrimage,"Curious, Adventurous",Ideal for wildlife lovers and bird watchers.
Place 1911,Maharashtra,Cultural,Relaxed,A serene destination with breathtaking views.
Place 1912,Assam,Adventure,Romantic,Perfect for nature lovers and adventure seekers.
Place 1913,Himachal Pradesh,Historical,"Romantic, Nature-loving",Famous for its historical significance and architecture.
Place 1914,Rajasthan,Wildlife,"Relaxed, Spiritual",Offers a mix of tradition and modern lifestyle.
Place 1915,Himachal Pradesh,Beach,Relaxed,Known for its vibrant culture and scenic beauty.
Place 1916,Gujarat,Cultural,"Nature-loving, Spiritual",Perfect for nature lovers and adventure seekers.
Place 1917,Rajasthan,Historical,Adventurous,A serene destination with breathtaking views.
Place 1918,Rajasthan,Beach,"Adventurous, Romantic, Peaceful",Ideal for wildlife lovers and bird watchers.
Place 1919,Kerala,Beach,Adventurous,Great for spiritual retreats and calm environments.
Place 1920,Rajasthan,Wildlife,"Peaceful, Curious",Perfect for nature lovers and adventure seekers.
